path,name,saturation,dark,bright,block_jump
C:\Users\saysa\Downloads\RoboMaster.v4-test_robust.yolov8\test\images\ARUWvsTAMUframe298_jpg.rf.9764baa23b3b3049f34d649b755b1889.jpg,ARUWvsTAMUframe298_jpg.rf.9764baa23b3b3049f34d649b755b1889.jpg,0.1916796875,0.08473307291666667,0.024775390625,25.439308166503906
C:\Users\saysa\Downloads\RoboMaster.v4-test_robust.yolov8\test\images\ARUWvsTAMUframe304_jpg.rf.ccce57c4a1c32bd21b8372014ae5b96b.jpg,ARUWvsTAMUframe304_jpg.rf.ccce57c4a1c32bd21b8372014ae5b96b.jpg,0.255498046875,0.07174153645833334,0.017669270833333334,25.035400390625
C:\Users\saysa\Downloads\RoboMaster.v4-test_robust.yolov8\test\images\ARUWvsTAMUframe305_jpg.rf.5470a6254a4a00656dff655e3994ca28.jpg,ARUWvsTAMUframe305_jpg.rf.5470a6254a4a00656dff655e3994ca28.jpg,0.21859700520833333,0.07698567708333333,0.02298828125,25.008041381835938
C:\Users\saysa\Downloads\RoboMaster.v4-test_robust.yolov8\test\images\ARUWvsTAMUframe306_jpg.rf.f54b43f5ffa4deff6f90643dc4d23899.jpg,ARUWvsTAMUframe306_jpg.rf.f54b43f5ffa4deff6f90643dc4d23899.jpg,0.18619140625,0.08401041666666667,0.03317057291666667,26.033096313476562
C:\Users\saysa\Downloads\RoboMaster.v4-test_robust.yolov8\test\images\ARUWvsTAMUframe307_jpg.rf.f577b2af04d6f463e8542e3907e8deaf.jpg,ARUWvsTAMUframe307_jpg.rf.f577b2af04d6f463e8542e3907e8deaf.jpg,0.17325846354166666,0.07727864583333334,0.04960611979166667,26.90731430053711
C:\Users\saysa\Downloads\RoboMaster.v4-test_robust.yolov8\test\images\ARUWvsTAMUframe308_jpg.rf.9912e178d4fc22e27da93734b743fd00.jpg,ARUWvsTAMUframe308_jpg.rf.9912e178d4fc22e27da93734b743fd00.jpg,0.0951953125,0.073583984375,0.051881510416666665,30.94260025024414
C:\Users\saysa\Downloads\RoboMaster.v4-test_robust.yolov8\test\images\ARUWvsTAMUframe310_jpg.rf.da0f30c078fe4036f6c622b7d008f86e.jpg,ARUWvsTAMUframe310_jpg.rf.da0f30c078fe4036f6c622b7d008f86e.jpg,0.11065755208333333,0.065048828125,0.05766276041666667,28.9042911529541
C:\Users\saysa\Downloads\RoboMaster.v4-test_robust.yolov8\test\images\ARUWvsTAMUframe311_jpg.rf.42caa2e0757c6b7054a2e471883dfefd.jpg,ARUWvsTAMUframe311_jpg.rf.42caa2e0757c6b7054a2e471883dfefd.jpg,0.207978515625,0.05943033854166667,0.030423177083333332,26.13235092163086
C:\Users\saysa\Downloads\RoboMaster.v4-test_robust.yolov8\test\images\ARUWvsTAMUframe312_jpg.rf.9a311c16af4ddef8c0bd26a2420d6ac6.jpg,ARUWvsTAMUframe312_jpg.rf.9a311c16af4ddef8c0bd26a2420d6ac6.jpg,0.21251302083333334,0.058619791666666664,0.031181640625,26.39426040649414
C:\Users\saysa\Downloads\RoboMaster.v4-test_robust.yolov8\test\images\ARUWvsTAMUframe313_jpg.rf.54f57434756b574e96103afb4cb5304c.jpg,ARUWvsTAMUframe313_jpg.rf.54f57434756b574e96103afb4cb5304c.jpg,0.21653645833333332,0.058671875,0.04419921875,27.214927673339844
C:\Users\saysa\Downloads\RoboMaster.v4-test_robust.yolov8\test\images\ARUWvsTAMUframe33_jpg.rf.1c903351d08e0990f0778baffd9a7171.jpg,ARUWvsTAMUframe33_jpg.rf.1c903351d08e0990f0778baffd9a7171.jpg,0.19022135416666666,0.08609375,0.026438802083333334,26.125057220458984
C:\Users\saysa\Downloads\RoboMaster.v4-test_robust.yolov8\test\images\ARUWvsTAMUframe34_jpg.rf.42f4da29d6b68708958028b41be82135.jpg,ARUWvsTAMUframe34_jpg.rf.42f4da29d6b68708958028b41be82135.jpg,0.219384765625,0.07957356770833333,0.027779947916666665,26.218914031982422
C:\Users\saysa\Downloads\RoboMaster.v4-test_robust.yolov8\test\images\ARUWvsTAMUframe35_jpg.rf.d77197ec5beba51854b683b3dff02608.jpg,ARUWvsTAMUframe35_jpg.rf.d77197ec5beba51854b683b3dff02608.jpg,0.19776692708333332,0.08619791666666667,0.035869140625,26.524860382080078
C:\Users\saysa\Downloads\RoboMaster.v4-test_robust.yolov8\test\images\ARUWvsTAMUframe379_jpg.rf.dbdb52921d855c7d9d6840aa656b43f2.jpg,ARUWvsTAMUframe379_jpg.rf.dbdb52921d855c7d9d6840aa656b43f2.jpg,0.04044921875,0.088544921875,0.04944986979166666,21.69770050048828
C:\Users\saysa\Downloads\RoboMaster.v4-test_robust.yolov8\test\images\ARUWvsTAMUframe37_jpg.rf.7eb399d118e51439a6a640206748fb72.jpg,ARUWvsTAMUframe37_jpg.rf.7eb399d118e51439a6a640206748fb72.jpg,0.19566080729166666,0.08143229166666667,0.03469075520833333,26.76822280883789
C:\Users\saysa\Downloads\RoboMaster.v4-test_robust.yolov8\test\images\ARUWvsTAMUframe380_jpg.rf.9af7a36ce2e76a4ef79ab40d09a0ab41.jpg,ARUWvsTAMUframe380_jpg.rf.9af7a36ce2e76a4ef79ab40d09a0ab41.jpg,0.022366536458333332,0.08813151041666667,0.05925455729166667,26.069263458251953
